Optical Power Monitor
4.1.4204.742
Delimiter Used: , ','

Start of Measurement , 11/8/2024 12:50:17
Sample Interval , 20 s
, PM 221205548
Type, PM16-120
Serialnumber, 221205548
Sensor, Photodiode
SensorSerialnumber, 221205548
Wavelength / Responsivity, 633 nm

,,,PM 221205548, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 11/8/2024, 12:50:17.329,0.00043364
1, 11/8/2024, 12:50:37.579,0.0004339
2, 11/8/2024, 12:50:57.604,0.00047465
3, 11/8/2024, 12:51:17.621,0.00062828
4, 11/8/2024, 12:51:37.637,0.00084231
5, 11/8/2024, 12:51:57.645,0.00098116
6, 11/8/2024, 12:52:17.658,0.0010712
7, 11/8/2024, 12:52:37.660,0.0010696
8, 11/8/2024, 12:52:57.685,0.00098305
9, 11/8/2024, 12:53:17.688,0.00079573
10, 11/8/2024, 12:53:37.691,0.00059032
11, 11/8/2024, 12:53:57.718,0.00050534
12, 11/8/2024, 12:54:17.733,0.00054172
13, 11/8/2024, 12:54:37.738,0.00063329
14, 11/8/2024, 12:54:57.752,0.0008116
15, 11/8/2024, 12:55:17.778,0.0010114
16, 11/8/2024, 12:55:37.801,0.0010987
17, 11/8/2024, 12:55:57.812,0.0010863
18, 11/8/2024, 12:56:17.824,0.00097149
19, 11/8/2024, 12:56:37.828,0.00072914
20, 11/8/2024, 12:56:57.850,0.00054687
